cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Grass-legume hay,Tons,3.9,4.1,4.3,NA,NA,NA,168591,13341361
Grass-legume pasture,AUM,7.5,7.8,8.1,NA,NA,NA,168591,13341362
Soybeans,Bu,32,35,38,NA,NA,NA,168591,13341363
Bromegrass-alfalfa,AUM,NA,2.1,NA,NA,NA,NA,168570,13341097
Grass-legume hay,Tons,NA,3,NA,NA,NA,NA,168570,13341098
Corn,Bu,NA,100,NA,NA,NA,NA,168557,13341048
Oats,Bu,NA,68,NA,NA,NA,NA,168557,13341049
Orchardgrass,AUM,NA,6.7,NA,NA,NA,NA,168557,13341050
Orchardgrass-trefoil,AUM,NA,5.3,NA,NA,NA,NA,168557,13341051
Orchardgrass-trefoil hay,Tons,NA,3.2,NA,NA,NA,NA,168557,13341052
Soybeans,Bu,NA,31,NA,NA,NA,NA,168557,13341053
Winter wheat,Bu,NA,34,NA,NA,NA,NA,168557,13341054
Grass-legume hay,Tons,NA,4,NA,NA,NA,NA,168557,13341055
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
Soybeans,Bu,35,37,39,NA,NA,NA,168539,13341374
Winter wheat,Bu,40,43,46,NA,NA,NA,168539,13341375
Grass-legume pasture,AUM,4.9,5.2,5.5,NA,NA,NA,168539,13341376
Grass-legume hay,Tons,3.9,4.1,4.3,NA,NA,NA,168539,13341377
Corn,Bu,110,115,120,NA,NA,NA,168539,13341378
<<<<<<< HEAD
Orchardgrass-alfalfa hay,Tons,NA,4.5,NA,NA,NA,NA,168535,13340963
Soybeans,Bu,NA,33,NA,NA,NA,NA,168535,13340964
Winter wheat,Bu,NA,40,NA,NA,NA,NA,168535,13340965
Grass-legume hay,Tons,NA,4.5,NA,NA,NA,NA,168535,13340966
Corn,Bu,NA,105,NA,NA,NA,NA,168535,13340967
Oats,Bu,NA,78,NA,NA,NA,NA,168535,13340968
=======
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
Corn,Bu,115,120,125,NA,NA,NA,1019357,13341369
Grass-legume hay,Tons,4,4.2,4.4,NA,NA,NA,1019357,13341370
Grass-legume pasture,AUM,5.1,5.4,5.7,NA,NA,NA,1019357,13341371
Soybeans,Bu,38,40,42,NA,NA,NA,1019357,13341372
Winter wheat,Bu,42,45,48,NA,NA,NA,1019357,13341373
Corn,Bu,149,154,159,NA,NA,NA,2996476,13341418
Grass-legume pasture,AUM,4.4,4.7,5,NA,NA,NA,2996476,13341419
Soybeans,Bu,42,45,48,NA,NA,NA,2996476,13341420
Winter wheat,Bu,48,52,56,NA,NA,NA,2996476,13341421
Grass-legume hay,Tons,3.5,3.8,4.1,NA,NA,NA,2996476,13341422
<<<<<<< HEAD
=======
Corn,Bu,135,140,145,NA,NA,NA,2996690,13341393
Grass-legume hay,Tons,3,3.3,3.6,NA,NA,NA,2996690,13341394
Grass-legume pasture,AUM,3.9,4.2,4.5,NA,NA,NA,2996690,13341395
Soybeans,Bu,37,40,43,NA,NA,NA,2996690,13341396
Winter wheat,Bu,43,47,51,NA,NA,NA,2996690,13341397
>>>>>>> 78e57546e21f90e24b9b92e70ac00bdd7df07d96
